streetname,streetcode
cfb-bee,1536
dh-cac,1537
cbg-beb,1538
bgj-bhe,1539
cbc-cfh,1540
cfh-be,1541
bed-cej,1542
cfa-hg,1543
bje-ic,1544
a-bhb,1545
bed-cfi,1546
cfi-cea,1547
bd-cfj,1548
cfj-cdj,1549
jh-hb,1550
cdb-bff,1551
bag-bjj,1552
dh-cga,1553
cga-bji,1554
bed-dg,1555
bde-a,1556
bec-cgb,1557
cgb-cac,1558
bdj-cac,1559
cfh-cdj,1560
cb-dc,1561
bba-cgc,1562
cgc-eh,1563
caj-cbg,1564
ceb-cbf,1565
caj-cgd,1566
cgd-f,1567
hd-baa,1568
ceg-gd,1569
cg-cfj,1570
bce-cac,1571
ie-cge,1572
cge-beb,1573
hd-cgf,1574
cgf-cej,1575
bii-cgg,1576
cgg-beh,1577
bgg-cgh,1578
cgh-dd,1579
cee-bjh,1580
ba-bbi,1581
hc-cgi,1582
cgi-ic,1583
cbj-be,1584
bjd-bef,1585
ig-cgj,1586
cgj-ja,1587
gj-bg,1588
fc-cbf,1589
bbj-ji,1590
cbb-cha,1591
cha-eg,1592
bfi-chb,1593
chb-cg,1594
bbd-cdg,1595
bdh-ji,1596
dh-beg,1597
bi-eb,1598
bea-bee,1599
cdc-chc,1600
chc-bja,1601
bgb-cdh,1602
ei-bja,1603
jb-fe,1604
jd-cfg,1605
bdi-ba,1606
cab-cac,1607
bbh-cdf,1608
bdb-bcb,1609
bgg-bhh,1610
ci-be,1611
bhb-hj,1612
bbc-cfg,1613
jg-hi,1614
ch-chd,1615
chd-bdh,1616
cbb-cf,1617
caf-cea,1618
cfj-che,1619
che-ee,1620
cbb-chf,1621
chf-bbg,1622
bda-cei,1623
cfg-chg,1624
chg-bfb,1625
ed-chh,1626
chh-eh,1627
fc-bci,1628
bff-bbb,1629
if-chi,1630
chi-ji,1631
i-chj,1632
chj-bji,1633
hh-bih,1634
bhh-cac,1635
bea-jd,1636
cgi-cfc,1637
bji-cia,1638
cia-beh,1639
cfi-cbh,1640
ed-cib,1641
cib-cdb,1642
bgg-db,1643
bah-bfd,1644
ch-baa,1645
bbi-cic,1646
cic-bb,1647
bfi-cba,1648
dd-bdd,1649
bdh-cid,1650
cid-cdi,1651
cic-ceh,1652
j-jb,1653
jf-cfe,1654
cgj-cfh,1655
cgj-cie,1656
cie-bbe,1657
