inter_in,inter_out,streetcode,L
9,20,320,4
4,62,321,2
62,39,322,4
18,12,323,1
46,63,324,3
63,58,325,6
27,56,326,6
15,48,327,4
39,36,328,9
22,64,329,8
64,10,330,7
23,65,331,7
65,60,332,4
55,38,333,7
10,8,334,8
54,12,335,6
28,41,336,4
11,6,337,9
65,66,338,2
66,30,339,3
60,50,340,5
58,29,341,4
43,17,342,10
66,45,343,10
26,57,344,1
39,24,345,8
27,23,346,2
15,64,347,7
40,23,348,1
31,49,349,1
46,49,350,4
32,67,351,6
67,44,352,2
38,56,353,3
31,61,354,4
46,29,355,3
67,50,356,10
22,38,357,8
10,58,358,9
22,68,359,7
68,34,360,8
64,62,361,6
61,22,362,2
43,18,363,10
44,67,364,3
61,19,365,8
5,44,366,4
38,36,367,9
52,37,368,1
44,54,369,8
23,31,370,5
49,14,371,6
40,62,372,3
59,25,373,7
46,13,374,1
25,21,375,9
49,65,376,10
8,61,377,5
29,33,378,2
14,61,379,6
33,47,380,3
65,25,381,4
12,17,382,2
58,42,383,2
18,21,384,1
34,65,385,3
56,54,386,9
34,49,387,3
21,69,388,4
69,55,389,3
26,47,390,5
45,70,391,4
70,25,392,2
36,19,393,2
20,33,394,3
10,71,395,2
71,17,396,9
58,70,397,10
22,0,398,2
66,72,399,6
72,41,400,2
27,73,401,9
73,49,402,8
41,28,403,8
0,44,404,4
53,50,405,2
73,14,406,9
31,37,407,2
3,74,408,8
74,43,409,10
48,26,410,9
39,8,411,3
64,67,412,2
74,18,413,8
39,66,414,3
67,37,415,2
8,75,416,7
75,61,417,1
60,76,418,9
76,0,419,8
6,44,420,5
60,62,421,5
16,39,422,10
5,77,423,4
77,14,424,4
50,78,425,9
78,67,426,3
10,38,427,9
65,0,428,8
63,79,429,6
79,10,430,9
55,59,431,6
3,41,432,5
33,60,433,5
12,33,434,8
61,25,435,6
30,74,436,1
30,49,437,6
53,72,438,10
55,5,439,6
50,46,440,7
28,17,441,4
77,3,442,7
13,77,443,7
48,64,444,9
78,25,445,8
71,20,446,1
12,80,447,4
80,17,448,2
76,81,449,5
81,27,450,9
80,82,451,8
82,54,452,9
32,70,453,1
43,40,454,9
15,36,455,4
49,83,456,6
83,31,457,1
11,42,458,9
27,69,459,4
50,0,460,9
30,18,461,5
9,32,462,6
19,44,463,4
80,71,464,2
32,7,465,9
33,74,466,8
67,25,467,10
39,44,468,2
51,84,469,10
84,44,470,4
15,77,471,10
22,85,472,3
85,40,473,4
14,40,474,10
52,42,475,9
62,56,476,8
21,61,477,1
21,86,478,8
86,47,479,5
66,25,480,8
46,1,481,9
72,63,482,9
60,9,483,5
68,87,484,3
87,14,485,3
33,40,486,2
0,28,487,6
78,6,488,7
82,88,489,8
88,64,490,1
86,55,491,9
13,11,492,2
13,35,493,2
3,26,494,1
27,41,495,8
79,38,496,6
1,24,497,9
1,27,498,10
44,56,499,9
85,60,500,3
38,80,501,9
21,89,502,8
89,69,503,7
89,68,504,6
44,21,505,5
23,49,506,5
51,65,507,7
46,90,508,8
90,56,509,9
77,32,510,10
68,66,511,8
24,38,512,2
9,62,513,8
21,25,514,5
71,73,515,5
22,91,516,4
91,25,517,8
15,37,518,6
66,85,519,2
56,92,520,1
92,38,521,6
22,80,522,8
63,39,523,2
30,8,524,4
46,68,525,2
0,22,526,1
41,12,527,3
74,30,528,8
81,68,529,1
69,93,530,3
93,29,531,10
31,44,532,6
19,58,533,7
51,7,534,8
2,82,535,10
34,94,536,2
94,53,537,1
12,95,538,7
95,52,539,7
87,9,540,7
33,96,541,6
96,47,542,7
29,89,543,10
65,29,544,7
45,36,545,10
46,97,546,3
97,94,547,8
17,72,548,8
97,67,549,10
56,21,550,7
48,97,551,10
26,48,552,2
96,84,553,10
45,33,554,5
89,84,555,7
55,19,556,6
36,41,557,10
35,93,558,4
88,98,559,4
98,50,560,4
47,75,561,5
83,96,562,2
14,65,563,8
2,84,564,10
4,79,565,9
39,79,566,6
67,99,567,3
99,16,568,8
86,49,569,5
20,86,570,10
97,61,571,2
45,100,572,8
100,1,573,1
55,14,574,10
52,38,575,6
74,51,576,2
24,9,577,5
93,14,578,5
30,75,579,9
97,81,580,4
80,41,581,7
9,101,582,4
101,73,583,3
101,13,584,4
68,98,585,2
64,102,586,2
102,58,587,6
100,53,588,4
11,103,589,5
103,90,590,4
23,104,591,2
104,11,592,8
19,18,593,4
62,35,594,7
7,29,595,10
86,45,596,2
20,80,597,10
14,105,598,2
105,98,599,3
71,40,600,4
54,3,601,5
31,106,602,2
106,64,603,3
73,80,604,10
28,84,605,9
16,59,606,7
49,107,607,9
107,14,608,7
21,11,609,2
3,103,610,3
104,77,611,6
89,58,612,5
13,108,613,10
108,102,614,10
45,109,615,7
109,40,616,5
36,110,617,8
110,87,618,1
105,53,619,7
43,111,620,6
111,19,621,4
8,41,622,4
95,80,623,7
32,112,624,4
112,10,625,8
11,49,626,5
78,111,627,9
40,87,628,4
66,113,629,8
113,92,630,5
103,18,631,3
80,84,632,10
22,114,633,6
114,64,634,7
50,95,635,1
38,51,636,9
38,10,637,10
40,112,638,2
49,115,639,8
115,78,640,3
29,116,641,3
116,58,642,8
13,117,643,8
117,74,644,4
38,2,645,10
86,100,646,5
75,118,647,1
118,113,648,1
66,49,649,10
110,118,650,7
19,96,651,2
111,52,652,8
22,119,653,3
119,106,654,6
72,120,655,6
120,45,656,1
81,6,657,10
42,96,658,1
91,115,659,6
120,0,660,2
41,74,661,8
80,121,662,1
121,50,663,5
114,71,664,3
31,19,665,7
31,109,666,1
41,40,667,8
5,52,668,4
43,14,669,8
89,31,670,7
107,122,671,6
122,106,672,6
115,12,673,3
43,107,674,3
11,111,675,3
38,79,676,8
64,12,677,7
13,123,678,10
123,105,679,4
116,82,680,4
80,124,681,10
124,93,682,9
110,125,683,6
125,19,684,4
109,126,685,1
126,22,686,4
119,39,687,1
115,47,688,6
43,99,689,10
115,109,690,2
90,91,691,4
57,39,692,4
123,46,693,2
43,84,694,3
7,127,695,1
127,106,696,4
93,55,697,5
108,20,698,7
31,65,699,10
112,128,700,5
128,66,701,4
22,37,702,10
115,129,703,10
129,61,704,7
14,100,705,4
129,130,706,5
130,70,707,3
90,4,708,4
44,32,709,4
19,106,710,1
121,61,711,2
129,66,712,9
114,120,713,10
5,127,714,8
42,86,715,2
6,64,716,7
80,95,717,10
65,131,718,9
131,36,719,2
75,114,720,8
71,132,721,7
132,75,722,5
87,39,723,4
95,16,724,1
125,133,725,10
133,108,726,7
96,69,727,6
13,131,728,7
89,16,729,4
128,133,730,7
82,55,731,1
115,22,732,6
78,110,733,2
31,134,734,3
134,88,735,3
48,117,736,8
53,81,737,10
90,49,738,6
32,73,739,5
107,92,740,8
117,25,741,2
109,112,742,8
134,113,743,6
119,91,744,1
40,30,745,1
72,135,746,8
135,95,747,10
81,1,748,1
52,79,749,10
77,96,750,9
82,102,751,6
51,126,752,4
128,54,753,4
17,67,754,8
34,130,755,8
107,96,756,8
11,124,757,2
19,61,758,6
113,34,759,7
12,28,760,8
109,85,761,1
30,3,762,10
91,70,763,4
91,132,764,10
18,121,765,5
96,113,766,2
0,79,767,6
80,103,768,10
77,93,769,5
135,116,770,4
90,136,771,10
136,63,772,2
91,52,773,5
48,135,774,3
21,137,775,9
137,134,776,9
29,14,777,4
126,106,778,10
60,102,779,2
104,96,780,4
98,121,781,4
95,94,782,1
87,81,783,2
119,48,784,5
92,89,785,7
111,131,786,10
47,96,787,5
101,126,788,10
25,28,789,6
65,69,790,4
24,122,791,10
128,73,792,8
108,93,793,8
95,50,794,3
128,105,795,2
46,99,796,6
101,9,797,1
62,11,798,10
86,54,799,8
27,120,800,5
19,51,801,1
137,138,802,2
138,134,803,1
6,70,804,8
92,113,805,6
70,131,806,6
100,13,807,7
24,94,808,3
51,139,809,5
139,46,810,3
62,132,811,10
68,31,812,9
43,72,813,10
129,140,814,8
140,5,815,9
130,5,816,8
66,116,817,2
96,75,818,6
135,55,819,6
58,141,820,9
141,21,821,2
129,110,822,2
61,45,823,10
19,142,824,3
142,45,825,5
12,10,826,4
90,115,827,6
6,143,828,7
143,89,829,7
21,44,830,3
33,93,831,5
26,144,832,10
144,44,833,7
10,145,834,8
145,71,835,10
76,145,836,10
62,69,837,8
45,80,838,9
49,146,839,2
146,102,840,9
56,58,841,8
51,10,842,10
58,103,843,5
74,59,844,1
73,136,845,6
136,108,846,7
81,58,847,8
49,91,848,3
76,17,849,5
118,29,850,2
55,36,851,10
55,7,852,5
53,5,853,7
78,147,854,8
147,85,855,6
56,47,856,5
127,148,857,6
148,90,858,7
97,93,859,6
9,96,860,8
77,99,861,9
43,114,862,9
19,149,863,5
149,43,864,4
37,150,865,10
150,78,866,5
92,91,867,2
109,80,868,9
71,8,869,8
142,117,870,5
27,45,871,1
41,124,872,7
75,30,873,4
58,151,874,7
151,86,875,7
65,38,876,9
74,152,877,8
152,127,878,9
14,137,879,4
109,153,880,5
153,137,881,5
35,81,882,7
63,126,883,9
139,38,884,6
151,117,885,2
24,116,886,4
54,142,887,2
91,154,888,8
154,18,889,2
62,155,890,7
155,78,891,5
51,34,892,10
15,27,893,7
61,139,894,2
59,115,895,3
137,77,896,7
145,156,897,4
156,6,898,6
66,157,899,2
157,1,900,8
112,155,901,10
62,158,902,3
158,103,903,7
22,120,904,9
47,64,905,5
73,121,906,6
114,144,907,9
109,120,908,7
129,158,909,10
77,18,910,6
105,49,911,3
68,144,912,5
93,126,913,7
16,159,914,10
159,49,915,7
137,160,916,2
160,62,917,4
73,150,918,3
125,132,919,4
138,13,920,9
60,41,921,3
80,130,922,5
152,23,923,2
107,129,924,5
131,161,925,6
161,119,926,7
113,29,927,4
7,45,928,2
53,162,929,2
162,30,930,9
22,94,931,8
18,163,932,3
163,45,933,7
44,20,934,7
20,91,935,10
54,136,936,6
92,109,937,2
47,108,938,3
28,100,939,3
142,18,940,8
114,76,941,1
137,71,942,5
87,21,943,8
114,2,944,2
58,128,945,5
69,164,946,1
164,54,947,6
65,139,948,5
133,30,949,6
94,7,950,5
47,46,951,4
151,165,952,1
165,96,953,10
84,145,954,2
9,166,955,8
166,82,956,8
52,167,957,3
167,69,958,5
129,52,959,3
167,133,960,2
69,121,961,8
34,143,962,9
94,116,963,10
69,153,964,4
90,168,965,3
168,143,966,5
61,8,967,1
89,169,968,6
169,130,969,10
72,111,970,7
43,131,971,10
3,164,972,4
159,72,973,1
120,118,974,5
101,145,975,7
154,43,976,1
122,136,977,8
14,48,978,9
93,46,979,7
63,5,980,10
50,135,981,4
92,29,982,1
101,62,983,3
10,130,984,4
41,110,985,4
141,81,986,2
57,170,987,10
170,71,988,9
109,171,989,4
171,132,990,6
0,17,991,4
127,172,992,5
172,143,993,2
126,7,994,6
121,173,995,10
173,23,996,2
1,82,997,2
33,53,998,5
107,84,999,6
120,154,1000,4
39,104,1001,2
54,94,1002,1
46,53,1003,1
69,31,1004,10
44,174,1005,2
174,91,1006,7
83,166,1007,5
119,64,1008,6
38,111,1009,2
159,129,1010,2
173,30,1011,5
126,166,1012,4
145,175,1013,3
175,170,1014,2
17,78,1015,9
104,145,1016,8
80,139,1017,1
150,77,1018,3
9,176,1019,7
176,24,1020,3
151,177,1021,3
177,87,1022,6
90,31,1023,9
36,86,1024,10
1,89,1025,8
54,173,1026,5
116,43,1027,9
128,119,1028,3
169,31,1029,7
12,36,1030,7
18,178,1031,6
178,0,1032,4
76,179,1033,7
179,89,1034,9
28,180,1035,7
180,10,1036,5
111,181,1037,2
181,74,1038,4
15,6,1039,4
40,182,1040,4
182,65,1041,6
87,145,1042,2
46,7,1043,8
96,180,1044,8
79,102,1045,6
33,121,1046,1
102,78,1047,6
70,137,1048,7
66,183,1049,1
183,165,1050,5
144,80,1051,9
76,50,1052,3
96,134,1053,9
65,2,1054,8
96,70,1055,6
156,106,1056,8
57,25,1057,7
112,184,1058,3
184,165,1059,3
38,126,1060,2
125,96,1061,10
71,185,1062,8
185,167,1063,3
178,109,1064,5
40,65,1065,3
156,186,1066,2
186,70,1067,4
73,93,1068,8
48,99,1069,5
28,35,1070,10
124,18,1071,7
121,165,1072,10
51,151,1073,9
95,84,1074,3
79,156,1075,5
12,187,1076,5
187,2,1077,6
57,56,1078,10
162,188,1079,7
188,81,1080,5
93,189,1081,1
189,9,1082,5
77,2,1083,8
182,93,1084,10
56,166,1085,7
61,154,1086,7
160,56,1087,10
132,159,1088,8
21,55,1089,4
122,89,1090,10
63,59,1091,10
14,93,1092,2
86,51,1093,6
57,190,1094,4
190,146,1095,5
94,191,1096,4
191,118,1097,9
73,145,1098,3
20,58,1099,6
137,192,1100,9
192,0,1101,2
152,131,1102,5
20,186,1103,8
9,2,1104,3
67,79,1105,3
97,90,1106,2
187,143,1107,5
48,120,1108,9
104,184,1109,7
16,37,1110,8
38,193,1111,2
193,122,1112,4
176,156,1113,6
41,58,1114,1
66,147,1115,8
82,98,1116,10
130,109,1117,8
60,48,1118,2
35,163,1119,8
191,106,1120,2
69,27,1121,4
43,123,1122,6
139,56,1123,3
29,194,1124,1
194,38,1125,5
57,156,1126,9
10,78,1127,5
177,47,1128,4
9,123,1129,10
166,89,1130,4
28,144,1131,7
67,195,1132,6
195,56,1133,10
86,5,1134,3
24,89,1135,2
180,167,1136,3
123,74,1137,9
44,196,1138,6
196,3,1139,3
105,165,1140,7
15,84,1141,8
165,38,1142,1
101,38,1143,1
91,103,1144,9
142,166,1145,10
188,112,1146,8
166,19,1147,1
42,85,1148,5
165,144,1149,6
158,95,1150,10
45,147,1151,5
166,171,1152,4
109,6,1153,2
52,197,1154,10
197,75,1155,4
127,4,1156,1
34,198,1157,3
198,189,1158,4
94,32,1159,3
197,199,1160,9
199,148,1161,5
182,2,1162,4
84,74,1163,1
54,27,1164,3
117,111,1165,1
108,53,1166,6
38,200,1167,5
200,77,1168,5
194,131,1169,5
87,133,1170,10
183,76,1171,2
149,201,1172,4
201,82,1173,6
157,12,1174,7
35,24,1175,5
81,75,1176,6
50,144,1177,1
4,136,1178,10
89,137,1179,9
23,111,1180,4
135,15,1181,9
183,132,1182,3
1,127,1183,2
86,158,1184,9
2,202,1185,10
202,99,1186,1
62,123,1187,3
161,118,1188,1
199,21,1189,7
175,110,1190,6
65,88,1191,4
86,6,1192,3
97,171,1193,7
68,79,1194,2
104,120,1195,7
136,203,1196,3
203,94,1197,7
53,3,1198,7
100,204,1199,6
204,29,1200,3
12,205,1201,2
205,149,1202,7
7,40,1203,8
40,162,1204,8
151,148,1205,10
162,97,1206,7
172,1,1207,6
32,182,1208,7
116,206,1209,4
206,109,1210,9
24,183,1211,9
139,207,1212,5
207,130,1213,2
183,58,1214,3
144,15,1215,6
162,29,1216,6
5,110,1217,4
183,208,1218,3
208,49,1219,9
27,179,1220,10
78,180,1221,9
42,111,1222,6
97,209,1223,9
209,206,1224,10
41,9,1225,8
101,113,1226,4
192,138,1227,2
26,0,1228,9
208,140,1229,8
140,59,1230,3
79,142,1231,5
0,33,1232,8
8,60,1233,9
129,210,1234,8
210,160,1235,6
161,25,1236,8
103,91,1237,7
201,131,1238,6
16,120,1239,7
136,144,1240,6
204,128,1241,5
164,21,1242,6
21,98,1243,4
143,110,1244,9
81,124,1245,4
87,42,1246,5
136,48,1247,6
20,211,1248,3
211,158,1249,7
52,33,1250,6
131,57,1251,1
54,212,1252,10
212,67,1253,5
156,93,1254,6
65,213,1255,8
213,3,1256,10
103,37,1257,1
129,214,1258,9
214,101,1259,8
28,117,1260,2
58,23,1261,6
67,126,1262,6
162,33,1263,9
191,120,1264,8
128,199,1265,5
136,87,1266,10
145,184,1267,5
151,32,1268,9
196,54,1269,7
108,215,1270,4
215,107,1271,9
85,57,1272,3
185,153,1273,10
34,201,1274,2
61,157,1275,4
2,63,1276,1
136,216,1277,7
216,176,1278,5
92,66,1279,10
62,216,1280,2
204,100,1281,10
169,125,1282,6
95,198,1283,6
210,217,1284,3
217,56,1285,8
122,218,1286,1
218,93,1287,5
40,68,1288,10
130,86,1289,1
150,210,1290,4
84,19,1291,6
108,166,1292,6
31,219,1293,1
219,131,1294,9
165,136,1295,2
22,220,1296,9
220,65,1297,7
128,221,1298,9
221,185,1299,4
197,82,1300,4
115,67,1301,1
28,175,1302,5
198,214,1303,1
144,23,1304,1
120,136,1305,8
6,179,1306,6
67,213,1307,2
23,66,1308,2
197,14,1309,3
181,2,1310,7
110,222,1311,7
222,124,1312,4
135,106,1313,8
180,115,1314,3
43,49,1315,2
109,48,1316,10
209,85,1317,4
143,168,1318,2
207,205,1319,3
208,223,1320,1
223,170,1321,8
10,224,1322,2
224,207,1323,1
215,36,1324,3
139,107,1325,3
98,92,1326,8
193,27,1327,2
186,32,1328,8
137,225,1329,7
225,134,1330,6
142,40,1331,7
15,83,1332,10
187,50,1333,3
169,180,1334,6
25,34,1335,3
134,6,1336,5
80,64,1337,6
6,51,1338,4
187,226,1339,9
226,141,1340,5
27,117,1341,9
204,227,1342,8
227,180,1343,2
99,18,1344,10
116,62,1345,6
86,124,1346,6
163,228,1347,1
228,52,1348,7
227,229,1349,1
229,93,1350,9
33,230,1351,8
230,206,1352,8
204,93,1353,6
27,65,1354,10
184,231,1355,6
231,89,1356,5
149,115,1357,2
231,72,1358,5
112,232,1359,9
232,30,1360,5
177,176,1361,6
94,110,1362,7
196,171,1363,3
74,58,1364,3
181,208,1365,2
80,111,1366,5
31,233,1367,2
233,126,1368,9
132,49,1369,2
171,61,1370,6
65,231,1371,1
61,60,1372,7
84,71,1373,7
139,234,1374,10
234,74,1375,8
112,185,1376,6
180,41,1377,9
88,166,1378,5
42,1,1379,6
46,232,1380,4
81,11,1381,3
144,17,1382,1
47,97,1383,4
81,120,1384,1
220,166,1385,1
124,67,1386,6
96,122,1387,3
137,5,1388,9
12,235,1389,7
235,39,1390,3
65,6,1391,10
135,236,1392,3
236,173,1393,5
215,237,1394,1
237,126,1395,8
165,220,1396,2
67,115,1397,8
84,25,1398,2
169,149,1399,5
101,192,1400,6
44,238,1401,2
238,108,1402,3
21,10,1403,8
144,61,1404,5
77,200,1405,4
188,227,1406,3
69,189,1407,3
210,180,1408,7
121,195,1409,8
62,0,1410,5
174,34,1411,5
63,239,1412,3
239,210,1413,10
125,221,1414,9
19,144,1415,1
151,26,1416,9
199,40,1417,1
143,103,1418,9
172,44,1419,1
85,240,1420,8
240,118,1421,5
92,237,1422,4
212,206,1423,6
127,241,1424,10
241,228,1425,7
105,157,1426,4
179,102,1427,5
230,47,1428,6
91,221,1429,7
99,242,1430,5
242,22,1431,4
88,216,1432,1
15,103,1433,7
184,105,1434,3
69,130,1435,9
132,222,1436,5
211,239,1437,2
218,41,1438,2
132,200,1439,2
147,75,1440,6
136,242,1441,1
148,140,1442,1
159,121,1443,5
239,56,1444,10
101,147,1445,5
81,238,1446,1
27,167,1447,4
55,243,1448,2
243,73,1449,1
146,140,1450,6
58,46,1451,4
6,174,1452,9
215,244,1453,3
244,36,1454,3
7,181,1455,3
155,43,1456,1
1,191,1457,5
106,65,1458,6
54,95,1459,4
65,169,1460,2
92,3,1461,5
40,143,1462,7
74,214,1463,10
240,116,1464,3
226,146,1465,5
1,112,1466,10
56,101,1467,4
83,80,1468,7
83,225,1469,3
11,207,1470,9
87,155,1471,7
75,227,1472,4
161,45,1473,10
52,245,1474,7
245,61,1475,8
243,246,1476,5
246,66,1477,3
140,245,1478,10
228,46,1479,2
45,24,1480,5
194,247,1481,3
247,89,1482,5
128,176,1483,4
243,11,1484,5
95,77,1485,8
208,219,1486,7
227,13,1487,9
151,248,1488,9
248,39,1489,5
170,103,1490,5
130,249,1491,5
249,45,1492,3
21,46,1493,9
52,203,1494,3
54,38,1495,9
29,250,1496,2
250,144,1497,7
164,232,1498,8
107,203,1499,5
37,205,1500,1
213,94,1501,1
248,151,1502,5
79,173,1503,1
190,113,1504,1
195,86,1505,2
14,240,1506,10
249,85,1507,5
229,92,1508,5
52,251,1509,5
251,165,1510,4
33,252,1511,1
252,19,1512,4
88,49,1513,1
12,50,1514,1
233,245,1515,3
217,31,1516,8
54,253,1517,4
253,16,1518,10
163,47,1519,8
184,23,1520,3
29,203,1521,5
22,106,1522,9
222,241,1523,1
125,111,1524,3
197,78,1525,8
57,254,1526,3
254,1,1527,10
231,90,1528,4
36,90,1529,2
182,186,1530,9
132,220,1531,1
162,255,1532,8
255,243,1533,8
150,256,1534,1
256,50,1535,4
251,144,1536,8
37,202,1537,6
216,141,1538,7
169,174,1539,10
212,257,1540,7
257,14,1541,4
143,249,1542,5
250,76,1543,9
194,82,1544,7
0,171,1545,3
143,258,1546,1
258,240,1547,6
13,259,1548,7
259,239,1549,9
97,71,1550,3
231,155,1551,3
106,199,1552,2
37,260,1553,2
260,198,1554,3
143,36,1555,8
134,0,1556,2
142,261,1557,3
261,202,1558,1
139,202,1559,6
257,239,1560,8
21,32,1561,6
110,262,1562,5
262,47,1563,8
209,216,1564,9
241,215,1565,8
209,263,1566,2
263,5,1567,8
73,100,1568,3
246,63,1569,9
26,259,1570,10
124,202,1571,8
84,264,1572,3
264,141,1573,6
73,265,1574,5
265,249,1575,1
188,266,1576,9
266,147,1577,4
166,267,1578,5
267,33,1579,7
244,197,1580,1
10,118,1581,4
72,268,1582,10
268,82,1583,2
219,14,1584,7
193,145,1585,6
86,269,1586,4
269,90,1587,1
69,16,1588,7
52,215,1589,6
119,98,1590,10
211,270,1591,9
270,46,1592,3
158,271,1593,5
271,26,1594,4
113,236,1595,5
137,98,1596,9
37,146,1597,5
18,41,1598,1
140,144,1599,2
232,272,1600,8
272,190,1601,6
161,237,1602,7
48,190,1603,9
91,54,1604,3
93,256,1605,3
138,10,1606,6
201,202,1607,9
117,235,1608,1
131,121,1609,2
166,177,1610,6
28,14,1611,6
171,79,1612,2
112,256,1613,1
96,78,1614,3
27,273,1615,2
273,137,1616,3
211,25,1617,6
205,240,1618,3
259,274,1619,6
274,44,1620,8
211,275,1621,5
275,116,1622,8
130,248,1623,7
256,276,1624,8
276,151,1625,7
43,277,1626,9
277,47,1627,5
52,128,1628,6
155,111,1629,9
85,278,1630,4
278,98,1631,2
8,279,1632,1
279,198,1633,8
77,187,1634,2
177,202,1635,1
140,93,1636,10
268,252,1637,4
198,280,1638,2
280,147,1639,10
258,217,1640,6
43,281,1641,5
281,231,1642,2
166,31,1643,5
107,153,1644,4
27,100,1645,9
118,282,1646,7
282,11,1647,7
158,210,1648,1
33,133,1649,9
137,283,1650,5
283,238,1651,7
282,247,1652,10
9,91,1653,6
95,254,1654,9
269,257,1655,10
269,284,1656,8
284,114,1657,4
34,194,1658,10
83,285,1659,8
285,130,1660,10
267,67,1661,5
143,177,1662,9
