inter_in,inter_out,streetcode,L
4067,2,680,36
2,4090,681,8
4090,2,682,8
2,4140,683,42
4140,2,684,42
2,4243,685,26
4243,2,686,26
2,4295,687,18
4295,2,688,18
2,4322,689,34
4322,2,690,34
2,4430,691,36
4430,2,692,36
2,4433,693,19
4433,2,694,19
2,4467,695,10
4467,2,696,10
2,4546,697,45
4546,2,698,45
2,4557,699,1
4557,2,700,1
2,4559,701,27
4559,2,702,27
2,4562,703,20
4562,2,704,20
2,4614,705,32
4614,2,706,32
2,4668,707,24
4668,2,708,24
2,4683,709,3
4683,2,710,3
2,4732,711,50
4732,2,712,50
2,4747,713,43
4747,2,714,43
2,4785,715,21
4785,2,716,21
2,4835,717,1
4835,2,718,1
2,4882,719,49
4882,2,720,49
2,4892,721,39
4892,2,722,39
2,4983,723,4
4983,2,724,4
2,5115,725,6
5115,2,726,6
2,5128,727,49
5128,2,728,49
2,5150,729,4
5150,2,730,4
2,5228,731,49
5228,2,732,49
2,5349,733,24
5349,2,734,24
2,5407,735,28
5407,2,736,28
2,5463,737,40
5463,2,738,40
2,5473,739,27
5473,2,740,27
2,5505,741,26
5505,2,742,26
2,5513,743,31
5513,2,744,31
2,5601,745,12
5601,2,746,12
2,5648,747,1
5648,2,748,1
2,5714,749,32
5714,2,750,32
2,5759,751,44
5759,2,752,44
2,5782,753,12
5782,2,754,12
2,5857,755,13
5857,2,756,13
2,5882,757,5
5882,2,758,5
2,5891,759,28
5891,2,760,28
2,5896,761,13
5896,2,762,13
2,5905,763,6
5905,2,764,6
2,5982,765,36
5982,2,766,36
2,5986,767,41
5986,2,768,41
2,6106,769,34
6106,2,770,34
2,6262,771,11
6262,2,772,11
2,6363,773,27
6363,2,774,27
2,6423,775,15
6423,2,776,15
2,6434,777,39
6434,2,778,39
2,6461,779,6
6461,2,780,6
2,6631,781,15
6631,2,782,15
2,6723,783,33
6723,2,784,33
2,6724,785,12
6724,2,786,12
2,6754,787,28
6754,2,788,28
2,6760,789,2
6760,2,790,2
2,6761,791,28
6761,2,792,28
2,6797,793,34
6797,2,794,34
2,6809,795,35
6809,2,796,35
2,6916,797,49
6916,2,798,49
2,6970,799,20
6970,2,800,20
2,6975,801,7
6975,2,802,7
2,7062,803,46
7062,2,804,46
2,7083,805,41
7083,2,806,41
2,7160,807,21
7160,2,808,21
2,7179,809,19
7179,2,810,19
2,7260,811,4
7260,2,812,4
2,7336,813,46
7336,2,814,46
2,7532,815,32
7532,2,816,32
2,7589,817,24
7589,2,818,24
2,7611,819,21
7611,2,820,21
2,7630,821,2
7630,2,822,2
2,7717,823,50
7717,2,824,50
2,7794,825,24
7794,2,826,24
2,7813,827,38
7813,2,828,38
2,7877,829,38
7877,2,830,38
2,7905,831,22
7905,2,832,22
3,6,833,45
6,3,834,45
3,7,835,14
7,3,836,14
3,11,837,7
11,3,838,7
3,14,839,35
14,3,840,35
3,18,841,2
18,3,842,2
3,45,843,45
45,3,844,45
3,48,845,4
48,3,846,4
3,95,847,26
95,3,848,26
3,97,849,45
97,3,850,45
3,118,851,34
118,3,852,34
3,137,853,26
137,3,854,26
3,150,855,3
150,3,856,3
3,172,857,26
172,3,858,26
3,177,859,1
177,3,860,1
3,214,861,42
214,3,862,42
3,244,863,3
244,3,864,3
3,246,865,44
246,3,866,44
3,365,867,40
365,3,868,40
3,391,869,28
391,3,870,28
3,406,871,47
406,3,872,47
3,407,873,30
407,3,874,30
3,414,875,6
414,3,876,6
3,443,877,21
443,3,878,21
3,471,879,39
471,3,880,39
3,585,881,34
585,3,882,34
3,667,883,40
667,3,884,40
3,756,885,29
756,3,886,29
3,763,887,36
763,3,888,36
3,765,889,33
765,3,890,33
3,780,891,14
780,3,892,14
3,794,893,6
794,3,894,6
3,879,895,30
879,3,896,30
3,904,897,38
904,3,898,38
3,972,899,44
972,3,900,44
3,1142,901,50
1142,3,902,50
3,1212,903,24
1212,3,904,24
3,1225,905,48
1225,3,906,48
3,1521,907,24
1521,3,908,24
3,1668,909,3
1668,3,910,3
3,1748,911,10
1748,3,912,10
3,1942,913,10
1942,3,914,10
3,2230,915,7
2230,3,916,7
3,2284,917,15
2284,3,918,15
3,2291,919,40
2291,3,920,40
3,2368,921,27
2368,3,922,27
3,2370,923,11
2370,3,924,11
3,2457,925,9
2457,3,926,9
3,2558,927,13
2558,3,928,13
3,2659,929,43
2659,3,930,43
3,2775,931,17
2775,3,932,17
3,2800,933,25
2800,3,934,25
3,2853,935,31
2853,3,936,31
3,2973,937,22
2973,3,938,22
3,3014,939,5
3014,3,940,5
3,3150,941,24
3150,3,942,24
3,3235,943,40
3235,3,944,40
3,3382,945,14
3382,3,946,14
3,3400,947,11
3400,3,948,11
3,3460,949,39
3460,3,950,39
3,3486,951,31
3486,3,952,31
3,3522,953,18
3522,3,954,18
3,3565,955,35
3565,3,956,35
3,3984,957,6
3984,3,958,6
3,4010,959,44
4010,3,960,44
3,4081,961,18
4081,3,962,18
3,4177,963,31
4177,3,964,31
3,4281,965,17
4281,3,966,17
3,4291,967,10
4291,3,968,10
3,4495,969,47
4495,3,970,47
3,4981,971,7
4981,3,972,7
3,4999,973,49
4999,3,974,49
3,5184,975,14
5184,3,976,14
3,5237,977,10
5237,3,978,10
3,5303,979,46
5303,3,980,46
3,5308,981,45
5308,3,982,45
3,5342,983,11
5342,3,984,11
3,5405,985,10
5405,3,986,10
3,5525,987,3
5525,3,988,3
3,5605,989,43
5605,3,990,43
3,5611,991,1
5611,3,992,1
3,5816,993,4
5816,3,994,4
3,5852,995,16
5852,3,996,16
3,5973,997,23
5973,3,998,23
3,6041,999,8
6041,3,1000,8
3,6084,1001,20
6084,3,1002,20
3,6178,1003,13
6178,3,1004,13
3,6398,1005,43
6398,3,1006,43
3,6650,1007,5
6650,3,1008,5
3,6791,1009,47
6791,3,1010,47
3,6970,1011,33
6970,3,1012,33
3,7935,1013,28
7935,3,1014,28
4,6,1015,40
6,4,1016,40
4,7,1017,34
7,4,1018,34
4,9,1019,37
9,4,1020,37
4,10,1021,25
10,4,1022,25
4,11,1023,47
11,4,1024,47
4,14,1025,26
14,4,1026,26
4,19,1027,6
19,4,1028,6
4,21,1029,13
21,4,1030,13
4,26,1031,12
26,4,1032,12
4,27,1033,46
27,4,1034,46
4,39,1035,24
39,4,1036,24
4,44,1037,46
44,4,1038,46
4,83,1039,14
83,4,1040,14
4,87,1041,45
87,4,1042,45
4,89,1043,34
89,4,1044,34
4,91,1045,43
91,4,1046,43
4,120,1047,4
120,4,1048,4
4,144,1049,47
144,4,1050,47
4,147,1051,16
147,4,1052,16
4,148,1053,7
148,4,1054,7
4,165,1055,19
165,4,1056,19
4,170,1057,36
170,4,1058,36
4,195,1059,21
195,4,1060,21
4,207,1061,19
207,4,1062,19
4,231,1063,21
231,4,1064,21
4,287,1065,19
287,4,1066,19
4,338,1067,3
338,4,1068,3
4,341,1069,17
341,4,1070,17
4,368,1071,27
368,4,1072,27
4,392,1073,21
392,4,1074,21
4,414,1075,22
414,4,1076,22
4,469,1077,45
469,4,1078,45
4,470,1079,6
470,4,1080,6
4,514,1081,42
514,4,1082,42
4,525,1083,35
525,4,1084,35
4,528,1085,49
528,4,1086,49
4,546,1087,38
546,4,1088,38
4,655,1089,18
655,4,1090,18
4,672,1091,35
672,4,1092,35
4,712,1093,18
712,4,1094,18
4,799,1095,3
799,4,1096,3
4,818,1097,21
818,4,1098,21
4,860,1099,4
860,4,1100,4
4,861,1101,9
861,4,1102,9
4,867,1103,28
867,4,1104,28
4,900,1105,32
900,4,1106,32
4,915,1107,32
915,4,1108,32
4,1022,1109,42
1022,4,1110,42
4,1036,1111,37
1036,4,1112,37
4,1099,1113,22
1099,4,1114,22
4,1192,1115,11
1192,4,1116,11
4,1208,1117,39
1208,4,1118,39
4,1226,1119,25
1226,4,1120,25
4,1237,1121,34
1237,4,1122,34
4,1303,1123,43
1303,4,1124,43
4,1327,1125,2
1327,4,1126,2
4,1393,1127,29
1393,4,1128,29
4,1415,1129,5
1415,4,1130,5
4,1429,1131,38
1429,4,1132,38
4,1594,1133,13
1594,4,1134,13
4,1602,1135,45
1602,4,1136,45
4,1656,1137,35
1656,4,1138,35
4,1687,1139,25
1687,4,1140,25
4,1727,1141,48
1727,4,1142,48
4,1793,1143,20
1793,4,1144,20
4,1802,1145,14
1802,4,1146,14
4,1822,1147,34
1822,4,1148,34
4,1898,1149,32
1898,4,1150,32
4,2008,1151,44
2008,4,1152,44
4,2017,1153,40
2017,4,1154,40
4,2019,1155,40
2019,4,1156,40
4,2062,1157,27
2062,4,1158,27
4,2111,1159,37
2111,4,1160,37
4,2148,1161,29
2148,4,1162,29
4,2255,1163,46
2255,4,1164,46
4,2314,1165,38
2314,4,1166,38
4,2328,1167,9
2328,4,1168,9
4,2413,1169,26
2413,4,1170,26
4,2433,1171,25
2433,4,1172,25
4,2507,1173,48
2507,4,1174,48
4,2525,1175,25
2525,4,1176,25
4,2531,1177,12
2531,4,1178,12
4,2538,1179,5
2538,4,1180,5
4,2589,1181,17
2589,4,1182,17
4,2608,1183,22
2608,4,1184,22
4,2783,1185,9
2783,4,1186,9
4,2809,1187,17
2809,4,1188,17
4,2810,1189,42
2810,4,1190,42
4,2884,1191,37
2884,4,1192,37
4,2942,1193,18
2942,4,1194,18
4,2965,1195,46
2965,4,1196,46
4,3046,1197,34
3046,4,1198,34
4,3112,1199,17
3112,4,1200,17
4,3144,1201,7
3144,4,1202,7
4,3359,1203,7
3359,4,1204,7
4,3460,1205,40
3460,4,1206,40
4,3505,1207,12
3505,4,1208,12
4,3529,1209,9
3529,4,1210,9
4,3567,1211,23
3567,4,1212,23
4,3569,1213,44
3569,4,1214,44
4,3751,1215,27
3751,4,1216,27
4,3767,1217,9
3767,4,1218,9
4,4023,1219,33
4023,4,1220,33
4,4055,1221,8
4055,4,1222,8
4,4367,1223,42
4367,4,1224,42
4,4400,1225,10
4400,4,1226,10
4,4440,1227,33
4440,4,1228,33
4,4480,1229,25
4480,4,1230,25
4,4525,1231,45
4525,4,1232,45
4,4555,1233,23
4555,4,1234,23
4,4616,1235,43
4616,4,1236,43
4,4825,1237,28
4825,4,1238,28
4,4859,1239,36
4859,4,1240,36
4,4886,1241,2
4886,4,1242,2
4,4981,1243,50
4981,4,1244,50
4,5075,1245,20
5075,4,1246,20
4,5175,1247,6
5175,4,1248,6
4,5180,1249,25
5180,4,1250,25
4,5264,1251,47
5264,4,1252,47
4,5401,1253,25
5401,4,1254,25
4,5424,1255,40
5424,4,1256,40
4,5437,1257,33
5437,4,1258,33
4,6041,1259,30
6041,4,1260,30
4,6055,1261,50
6055,4,1262,50
4,6307,1263,2
6307,4,1264,2
4,6370,1265,7
6370,4,1266,7
4,6433,1267,4
6433,4,1268,4
4,6545,1269,37
6545,4,1270,37
4,6639,1271,16
6639,4,1272,16
4,6715,1273,50
6715,4,1274,50
4,6891,1275,10
6891,4,1276,10
4,7073,1277,15
7073,4,1278,15
4,7141,1279,45
7141,4,1280,45
4,7234,1281,5
7234,4,1282,5
4,7764,1283,46
7764,4,1284,46
4,7859,1285,2
7859,4,1286,2
4,7933,1287,48
7933,4,1288,48
5,6,1289,4
6,5,1290,4
5,7,1291,40
7,5,1292,40
5,8,1293,3
8,5,1294,3
5,9,1295,38
9,5,1296,38
5,13,1297,34
13,5,1298,34
5,16,1299,40
16,5,1300,40
5,17,1301,2
17,5,1302,2
5,23,1303,37
23,5,1304,37
5,57,1305,45
57,5,1306,45
5,59,1307,21
59,5,1308,21
5,68,1309,50
68,5,1310,50
5,69,1311,10
69,5,1312,10
5,70,1313,40
70,5,1314,40
5,85,1315,22
85,5,1316,22
5,99,1317,16
99,5,1318,16
5,144,1319,20
144,5,1320,20
5,163,1321,39
163,5,1322,39
5,199,1323,46
199,5,1324,46
5,200,1325,20
200,5,1326,20
5,221,1327,22
221,5,1328,22
5,289,1329,20
289,5,1330,20
5,292,1331,40
292,5,1332,40
5,321,1333,26
321,5,1334,26
5,325,1335,49
325,5,1336,49
5,372,1337,22
372,5,1338,22
5,437,1339,46
437,5,1340,46
5,471,1341,12
471,5,1342,12
5,512,1343,3
512,5,1344,3
5,578,1345,35
578,5,1346,35
5,615,1347,40
615,5,1348,40
5,657,1349,26
657,5,1350,26
5,681,1351,7
681,5,1352,7
5,759,1353,28
759,5,1354,28
5,781,1355,28
781,5,1356,28
5,799,1357,26
799,5,1358,26
5,823,1359,15
823,5,1360,15
5,929,1361,29
929,5,1362,29
5,950,1363,49
950,5,1364,49
5,989,1365,41
989,5,1366,41
5,1089,1367,5
1089,5,1368,5
5,1264,1369,15
1264,5,1370,15
5,1291,1371,1
1291,5,1372,1
5,1321,1373,46
1321,5,1374,46
5,1384,1375,46
1384,5,1376,46
5,1423,1377,34
1423,5,1378,34
5,1463,1379,12
1463,5,1380,12
5,1489,1381,26
1489,5,1382,26
5,1523,1383,18
1523,5,1384,18
5,1660,1385,49
1660,5,1386,49
5,1730,1387,39
1730,5,1388,39
5,1773,1389,38
1773,5,1390,38
5,1799,1391,22
1799,5,1392,22
5,1845,1393,17
1845,5,1394,17
5,1974,1395,29
1974,5,1396,29
5,2033,1397,12
2033,5,1398,12
5,2035,1399,5
2035,5,1400,5
5,2053,1401,1
2053,5,1402,1
5,2060,1403,35
2060,5,1404,35
5,2092,1405,41
2092,5,1406,41
5,2245,1407,17
2245,5,1408,17
5,2283,1409,21
2283,5,1410,21
5,2378,1411,29
2378,5,1412,29
5,2526,1413,2
2526,5,1414,2
5,2650,1415,41
2650,5,1416,41
5,2688,1417,19
2688,5,1418,19
5,2747,1419,37
2747,5,1420,37
5,2926,1421,15
2926,5,1422,15
5,2982,1423,34
2982,5,1424,34
5,3083,1425,31
3083,5,1426,31
5,3122,1427,26
3122,5,1428,26
5,3352,1429,8
3352,5,1430,8
5,3629,1431,23
3629,5,1432,23
5,3868,1433,4
3868,5,1434,4
5,3872,1435,50
3872,5,1436,50
5,4644,1437,1
4644,5,1438,1
5,4656,1439,50
4656,5,1440,50
5,4798,1441,15
4798,5,1442,15
5,5112,1443,33
5112,5,1444,33
5,5113,1445,40
5113,5,1446,40
5,5219,1447,17
5219,5,1448,17
5,5262,1449,38
5262,5,1450,38
5,5429,1451,30
5429,5,1452,30
5,5484,1453,19
5484,5,1454,19
5,5511,1455,29
5511,5,1456,29
5,5697,1457,12
5697,5,1458,12
5,5757,1459,34
5757,5,1460,34
5,5955,1461,44
5955,5,1462,44
5,6210,1463,2
6210,5,1464,2
5,6416,1465,43
6416,5,1466,43
5,6614,1467,47
6614,5,1468,47
5,6757,1469,21
6757,5,1470,21
5,6856,1471,44
6856,5,1472,44
5,7008,1473,30
7008,5,1474,30
5,7126,1475,26
7126,5,1476,26
5,7132,1477,39
7132,5,1478,39
5,7209,1479,36
7209,5,1480,36
5,7445,1481,38
7445,5,1482,38
5,7482,1483,3
7482,5,1484,3
5,7540,1485,16
7540,5,1486,16
5,7683,1487,41
7683,5,1488,41
5,7744,1489,31
7744,5,1490,31
5,7808,1491,41
7808,5,1492,41
5,7866,1493,47
7866,5,1494,47
5,7930,1495,35
7930,5,1496,35
6,7,1497,12
7,6,1498,12
6,8,1499,31
8,6,1500,31
6,9,1501,47
9,6,1502,47
6,10,1503,18
10,6,1504,18
6,11,1505,20
11,6,1506,20
6,13,1507,37
13,6,1508,37
6,16,1509,11
16,6,1510,11
6,18,1511,31
18,6,1512,31
6,19,1513,35
19,6,1514,35
6,22,1515,20
22,6,1516,20
6,24,1517,26
24,6,1518,26
6,28,1519,35
28,6,1520,35
6,30,1521,30
30,6,1522,30
6,34,1523,38
34,6,1524,38
6,35,1525,36
35,6,1526,36
6,36,1527,34
36,6,1528,34
6,38,1529,27
38,6,1530,27
6,39,1531,28
39,6,1532,28
6,45,1533,3
45,6,1534,3
6,48,1535,10
48,6,1536,10
6,49,1537,22
49,6,1538,22
6,52,1539,44
52,6,1540,44
6,55,1541,7
55,6,1542,7
6,57,1543,40
57,6,1544,40
6,58,1545,25
58,6,1546,25
6,60,1547,22
60,6,1548,22
6,76,1549,7
76,6,1550,7
6,81,1551,50
81,6,1552,50
6,88,1553,36
88,6,1554,36
6,91,1555,16
91,6,1556,16
